ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
16497,simple,,,"Julie Damhus - ODA kop med hank (rosa)",1,0,visible,,"Smukke keramik krus håndlavet i stentøj af Julie Damhus.
\n
\n<span lang=""da"">Hvert krus er designet og håndlavet i Danmark. Farven kan variere fra billedet, da hvert element er unikt.</span>
\n
\n<span lang=""da"">Mål: H: 7-8 cm., D: 7,5-8,5 cm.</span>
\n
\nTåler opvaskemaskine
\n
\nBemærk at prisen er pr. stk.
\n
\n<strong>Der er meget få krus på lager, men <a href=""https://www.1x1textil.dk/kontakt-os/"" target=""_blank"" rel=""noopener noreferrer"">kontakte butikken</a> og hør hvilke.</strong>
\n
\nTil hver enkelt ordre bliver kunsthåndværket og keramikken som udgangspunkt særligt udvalgt og sammensat efter Helene Vonsilds ekspertise.
\nMen man er selvfølgelig altid velkommen til at <a href=""https://www.1x1textil.dk/kontakt-os/"" target=""_blank"" rel=""noopener noreferrer"">kontakte butikken</a>, hvis man har særlige ønsker, hvor Helene vil være behjælpelig med personlig betjening pr. mail eller telefon.",,,taxable,,1,7,,0,0,,,,,0,,,350,"Produkter > - Alle varer, Kunsthåndværkere > Julie Damhus, Kunsthåndværkere > Julie Damhus > Julie Damhus ODA Kop, Keramik, Keramikkopper, Kunsthåndværkere","Julie Damhus, Julie Damhus kop, Keramik, Keramik kopper, keramik krus, kop, krus",,"https://www.1x1textil.dk/wp-content/uploads/2019/05/IMG_1261-scaled.jpg, https://www.1x1textil.dk/wp-content/uploads/2019/05/IMG_3864-scaled.jpg, https://www.1x1textil.dk/wp-content/uploads/2019/05/Kop-Hank04.jpg, https://www.1x1textil.dk/wp-content/uploads/2019/05/Miljoe1-300x300-1.jpg",,,,,,,,,664,,Brand,"Julie Damhus",1,1,Kunstner,"Julie Damhus",1,1,,,,
18658,variable,,,"Julie Damhus - ODA Lysestage",1,0,visible,,"Lysestager håndlavet af Julie Damhus.
\n
\nTil hver enkelt ordre bliver kunsthåndværket og keramikken som udgangspunkt særligt udvalgt og sammensat efter Helene Vonsilds ekspertise.
\nMen man er selvfølgelig altid velkommen til at <a href=""https://www.1x1textil.dk/kontakt-os/"" target=""_blank"" rel=""noopener noreferrer"">kontakte butikken</a>, hvis man har særlige ønsker, hvor Helene vil være behjælpelig med personlig betjening pr. mail eller telefon.",,,taxable,,1,,,0,0,,,,,0,,,,"Produkter > - Alle varer, Kunsthåndværkere > Julie Damhus, Kunsthåndværkere > Julie Damhus > Julie Damhus ODA Lysestager, Keramik, Kunsthåndværkere, Lysestager","Julie Damhus, Julie damhus lysestage, Keramik, Keramik vase",,https://www.1x1textil.dk/wp-content/uploads/2020/05/7d4ed5ce-ec1f-48fe-b595-8d3f01150a4f.jpg,,,,,,,,,668,,Farver,"Blå, Brun, Grøn, Lyserød, Mint",1,1,Brand,"Julie Damhus",1,1,Kunstner,"Julie Damhus",1,1
18686,simple,,,"Julie Damhus - ODA krus med hank  BLÅ",1,0,visible,,"Smukke keramik krus håndlavet i stentøj af Julie Damhus.
\n
\n<span lang=""da"">Hvert krus er designet og håndlavet i Danmark. Farven kan variere fra billedet, da hvert element er unikt.</span>
\n
\n<span lang=""da"">Mål: H: 7-8 cm., D: 7,5-8,5 cm.</span>
\n
\nTåler opvaskemaskine
\n
\nBemærk at prisen er pr. stk.
\n
\n<strong>Der er meget få krus på lager, men <a href=""https://www.1x1textil.dk/kontakt-os/"" target=""_blank"" rel=""noopener noreferrer"">kontakte butikken</a> og hør hvilke.</strong>
\n
\nTil hver enkelt ordre bliver kunsthåndværket og keramikken som udgangspunkt særligt udvalgt og sammensat efter Helene Vonsilds ekspertise.
\nMen man er selvfølgelig altid velkommen til at <a href=""https://www.1x1textil.dk/kontakt-os/"" target=""_blank"" rel=""noopener noreferrer"">kontakte butikken</a>, hvis man har særlige ønsker, hvor Helene vil være behjælpelig med personlig betjening pr. mail eller telefon.",,,taxable,,0,-1,,0,0,,,,,0,,,350,"Produkter > - Alle varer, Kunsthåndværkere > Julie Damhus, Kunsthåndværkere > Julie Damhus > Julie Damhus ODA Kop, Keramik, Keramikkopper, Kunsthåndværkere","Julie Damhus, Julie Damhus kop, Keramik, Keramik kopper, keramik krus, kop, krus",,"https://www.1x1textil.dk/wp-content/uploads/2020/05/Kop-Hank01.jpg, https://www.1x1textil.dk/wp-content/uploads/2019/05/IMG_3864-scaled.jpg, https://www.1x1textil.dk/wp-content/uploads/2019/05/Miljoe1-300x300-1.jpg, https://www.1x1textil.dk/wp-content/uploads/2020/05/images.jpeg",,,,,,,,,666,,Brand,"Julie Damhus",1,1,Kunstner,"Julie Damhus",1,1,,,,
18689,simple,,,"Julie Damhus - ODA kop med hank (brun)",1,0,visible,,"Smukke keramik krus håndlavet i stentøj af Julie Damhus.
\n
\n<span lang=""da"">Hvert krus er designet og håndlavet i Danmark. Farven kan variere fra billedet, da hvert element er unikt.</span>
\n
\n<span lang=""da"">Mål: H: 7-8 cm., D: 7,5-8,5 cm.</span>
\n
\nTåler opvaskemaskine
\n
\nBemærk at prisen er pr. stk.
\n
\n<strong>Der er meget få krus på lager, men <a href=""https://www.1x1textil.dk/kontakt-os/"" target=""_blank"" rel=""noopener noreferrer"">kontakte butikken</a> og hør hvilke.</strong>
\n
\nTil hver enkelt ordre bliver kunsthåndværket og keramikken som udgangspunkt særligt udvalgt og sammensat efter Helene Vonsilds ekspertise.
